"depth","best.age","min.age","max.age"
15,1080,920,1219
20,1411,1225,1562
25,1729,1519,1889
30,2030,1800,2208
35,2311,2055,2516
40,2572,2284,2814
45,2818,2484,3102
50,3053,2690,3432
55,3284,2905,3733
60,3516,3111,3905
65,3753,3339,4204
70,4000,3593,4497
75,4264,3887,4788
80,4549,4193,4956
85,4861,4536,5247
90,5204,4903,5592
95,5583,5267,5980
100,6005,5649,6428
105,6462,6081,6921
110,6940,6507,7414
115,7423,6955,7907
120,7896,7409,8379
125,8360,7880,8838
130,8815,8363,9290
135,9262,8847,9732
140,9703,9311,10156
145,10139,9765,10585
150,10572,10216,11020
155,11002,10647,11437
160,11429,11069,11850
165,11848,11476,12253
170,12260,11891,12659
175,12665,12298,13058
180,13065,12687,13455
185,13461,13074,13869
190,13854,13448,14292
200,NA,NA,NA
210,NA,NA,NA
220,NA,NA,NA
230,NA,NA,NA
240,NA,NA,NA
250,NA,NA,NA
260,NA,NA,NA
270,NA,NA,NA
280,NA,NA,NA
285,NA,NA,NA
290,NA,NA,NA
