"sample.depths","sample.ages","upland.sum","Ambrosia.type","Amorpha.type","Artemisia","Betula","Carya","Celtis","Amaranthaceae.undiff.","Cyperaceae","Fabaceae.undiff.","Ostrya.Carpinus","Plantago.major","Platanus","Quercus","Rumex","Salix","Sambucus","Asteraceae.subf..Asteroideae.undiff.","Ulmus","Apiaceae","Alnus","Fraxinus","Juglans","Pinus","Poaceae","Dalea","Rosaceae","Solanaceae","Abies","Ephedra.viridis.type","Humulus.type","Lamiaceae.undiff.","Larix","Asteraceae.subf..Cichorioideae","Picea","Polygonum.aviculare.type","Polygonum.lapathifolium.type","Sarcobatus.vermiculatus","Acer","Primulaceae","Ranunculaceae.undiff.","Vitis","Brassicaceae","Liquidambar","Malvaceae","Saxifragaceae","Thalictrum","Viburnum","Stachys.type","Corylus","Cupressaceae","Fagus","Viscaceae","Populus","Nyssa","Elaeagnus","Galium","Tilia","Castanea","Urtica.type","Euphorbiaceae","Tsuga","Scrophulariaceae","Morus","Rhamnus","Polemonium","Shepherdia.canadensis","cf..Hypericum"
15,1080,1437,40,2,18,4,2,2,14,1036,1,1,1,8,53,1,2,3,31,10,14,3,1,1,95,91,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1411,583,34,0,11,7,2,0,66,126,0,1,0,7,45,0,3,0,43,5,0,2,8,5,87,116,0,0,0,1,1,1,2,2,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1729,760,32,2,19,6,6,0,69,286,0,1,0,10,73,1,2,0,49,5,7,4,1,3,81,85,1,0,1,0,1,0,3,0,0,3,0,2,0,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2030,633,37,1,19,7,3,0,124,162,0,5,0,8,65,2,0,0,22,3,0,5,6,2,68,69,0,0,0,0,0,0,1,0,0,1,0,12,0,3,0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2311,630,49,0,14,5,4,0,95,162,0,3,0,2,69,2,5,0,26,9,2,1,1,0,55,102,1,0,0,2,0,0,2,0,0,2,0,2,1,3,0,3,0,0,0,0,0,0,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2572,654,50,1,13,9,3,0,105,211,0,1,0,3,63,2,1,0,23,9,0,4,3,3,30,104,2,0,0,0,0,0,2,0,0,2,0,3,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2818,651,46,1,17,3,2,0,132,177,0,1,0,7,68,4,0,0,54,4,0,0,2,2,46,64,2,0,0,0,0,0,0,0,0,2,0,8,1,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3053,664,55,0,22,3,3,0,120,182,0,4,0,5,49,0,0,0,24,7,1,4,1,2,52,116,0,0,0,0,0,0,0,0,0,3,0,4,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3284,597,51,0,23,5,6,0,127,131,1,4,0,0,67,5,1,0,39,6,2,3,3,4,43,71,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3516,587,41,0,26,2,4,0,96,146,0,5,0,1,47,5,2,0,22,8,0,6,5,1,35,121,0,0,0,0,0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
65,3753,712,67,2,30,0,6,0,105,176,0,7,0,8,59,3,1,0,30,11,7,8,4,1,46,116,2,0,0,0,0,0,0,0,0,4,0,3,2,2,1,4,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
70,4000,724,91,0,13,8,2,0,157,208,0,2,0,3,62,8,3,0,11,2,0,6,6,1,54,57,0,0,0,0,0,0,0,3,0,0,0,4,4,2,0,2,0,0,0,0,0,0,0,0,3,1,0,0,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0
75,4264,672,67,1,31,6,3,0,148,159,0,6,1,6,57,5,2,1,37,6,0,7,0,7,45,66,2,0,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
80,4549,676,74,0,18,4,3,0,187,169,0,3,0,4,48,3,3,0,35,8,0,3,2,1,23,70,0,0,0,1,0,0,1,0,0,5,0,4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
85,4861,602,70,3,23,8,4,0,125,136,0,6,0,5,76,5,0,0,23,14,1,4,0,5,37,51,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,5204,587,65,1,20,7,5,0,125,127,0,3,0,2,56,5,0,0,17,13,1,5,4,8,33,70,1,0,0,0,0,0,0,0,0,2,0,2,2,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,5583,602,67,0,20,3,1,0,219,105,0,1,0,3,40,29,0,0,24,3,1,2,4,1,21,50,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
100,6005,911,108,2,31,1,1,0,492,41,0,1,0,5,38,17,2,0,22,11,2,5,0,3,31,80,1,0,0,0,0,1,3,0,1,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
105,6462,777,66,4,25,3,1,0,352,85,0,5,0,0,29,96,2,0,15,13,0,3,2,2,15,50,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,6940,1057,97,1,19,2,9,0,514,160,0,6,0,7,45,17,0,0,24,23,0,1,2,4,34,75,1,0,0,0,1,0,0,1,0,5,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115,7423,964,82,3,22,6,5,1,249,265,0,5,0,4,63,5,1,0,19,10,3,2,0,3,58,138,0,0,2,0,0,0,1,0,0,6,0,3,0,2,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,7896,849,141,0,17,7,4,2,221,152,0,6,0,1,58,3,1,3,15,47,0,5,3,4,20,97,0,0,0,4,0,1,0,1,0,11,0,0,1,14,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
125,8360,809,161,4,28,9,16,0,149,131,1,9,0,1,65,5,5,0,21,64,0,5,2,2,23,81,0,0,0,1,0,0,0,0,0,14,0,1,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0
130,8815,755,87,0,15,9,12,1,95,57,0,22,0,0,100,0,0,1,8,216,1,7,6,6,22,45,1,0,0,3,0,0,0,1,0,11,0,4,2,9,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0
135,9262,818,123,0,17,8,15,0,75,83,0,31,0,0,101,4,3,0,13,229,0,7,9,4,15,48,2,0,0,2,0,0,0,0,0,7,0,0,2,8,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
140,9703,841,26,0,13,6,40,1,11,15,0,49,0,0,194,1,0,0,4,372,0,4,11,20,19,14,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
145,10139,713,26,0,16,31,32,1,10,9,0,64,0,0,156,0,0,0,3,247,0,9,10,22,14,7,0,0,0,4,0,0,0,1,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0
150,10572,648,15,0,9,37,31,2,3,4,0,39,0,2,74,2,1,0,1,317,0,14,8,18,13,5,0,0,0,1,0,0,0,2,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0
155,11002,725,4,0,13,199,2,0,3,9,0,20,0,0,54,0,1,0,2,181,0,22,89,2,9,14,0,0,0,28,0,0,0,7,0,38,0,0,0,6,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
160,11429,875,11,0,36,120,2,1,6,23,1,32,0,1,43,0,5,1,4,36,0,123,39,0,23,24,0,0,0,33,0,0,0,31,0,251,0,0,0,7,0,0,1,0,0,0,2,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,11848,793,31,0,49,75,1,0,9,40,0,27,0,1,42,0,4,2,13,22,0,82,34,0,4,30,0,0,0,42,0,3,0,3,0,253,0,0,0,2,0,0,0,0,0,0,0,1,0,0,17,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
170,12260,685,30,0,27,12,1,0,6,22,0,50,0,0,40,1,2,0,4,34,0,31,184,1,5,18,0,0,0,15,0,6,0,6,0,146,0,0,0,5,0,1,0,0,0,0,0,2,0,0,24,3,0,0,5,0,0,1,1,0,0,0,0,0,2,0,0,0,0
175,12665,687,35,0,33,8,2,0,7,12,0,27,0,0,53,0,2,0,2,32,0,26,186,0,9,10,0,0,0,30,0,0,0,13,0,186,0,0,2,0,0,0,0,0,0,0,0,3,0,0,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,13065,613,26,0,22,6,1,0,7,27,0,23,0,0,37,0,2,0,4,17,0,18,108,0,10,13,0,0,0,19,0,9,0,14,0,233,0,1,2,1,0,1,0,0,0,0,0,3,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,13461,602,24,0,26,16,2,0,4,24,0,16,1,0,23,1,2,0,5,12,0,19,61,0,7,7,0,0,0,25,0,2,0,18,0,288,0,0,0,4,0,1,0,0,0,0,1,2,0,0,8,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
190,13854,722,14,0,55,8,1,0,1,42,0,4,0,0,17,0,6,0,7,7,0,13,50,0,13,18,0,2,0,14,0,4,0,16,0,414,0,0,1,3,0,0,1,0,0,0,0,2,0,0,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
200,NA,655,10,0,67,16,1,1,4,64,0,10,1,0,22,0,5,0,2,9,0,12,33,0,12,17,0,1,0,2,0,1,0,8,0,341,0,0,0,4,0,1,0,0,0,0,0,6,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,NA,553,1,0,56,18,0,0,2,74,0,3,0,0,18,0,4,0,2,0,0,7,3,0,18,6,0,0,0,6,0,4,0,4,0,312,1,0,0,3,0,1,0,1,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
220,NA,663,9,0,70,8,0,0,4,97,0,4,0,0,19,1,4,1,3,3,0,6,10,0,28,20,0,0,0,3,0,3,0,10,0,349,0,0,1,2,0,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
230,NA,596,7,0,47,8,1,0,3,42,0,5,0,2,19,0,3,0,12,1,0,12,19,0,11,14,0,1,0,3,0,3,0,10,0,359,0,0,2,1,0,0,0,0,0,0,0,4,0,0,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,NA,633,12,0,42,6,0,0,3,44,0,2,1,0,18,0,4,0,3,1,0,12,14,0,15,4,0,1,0,6,0,4,0,3,0,430,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
250,NA,687,7,0,76,15,0,0,3,89,0,7,0,0,18,0,6,0,8,2,0,13,31,0,8,25,0,0,0,1,0,1,0,8,0,359,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
260,NA,665,4,0,62,17,1,0,3,102,0,3,0,0,12,0,8,1,5,4,0,6,0,0,14,6,0,0,0,9,0,0,0,5,0,398,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,NA,592,7,1,57,11,0,0,6,90,0,3,0,1,19,0,2,1,6,0,0,10,6,0,21,9,0,1,0,7,0,2,0,7,0,322,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
280,NA,485,3,0,50,11,0,2,3,76,0,2,0,0,17,0,0,2,5,2,0,5,3,1,22,6,0,0,0,6,0,0,0,2,0,258,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
285,NA,621,5,0,30,9,0,0,3,191,0,5,0,0,11,0,0,0,4,5,2,10,14,0,34,21,0,0,0,8,0,0,0,2,0,254,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
290,NA,430,4,0,32,10,2,1,1,108,0,6,0,0,8,0,4,1,5,0,0,7,2,0,23,8,0,0,0,7,0,0,0,3,0,191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
